"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000002324","ctb0754-32",5076,3045,1985,20,-62.1341218355529,-13.1467810131776
"00000000000000002326","ctb0754-34",7242,7310,1985,91,-61.6833290145548,-12.5833290040642
"000000000000000009e2","ctb0033-RO2254D",4259,4002,1996,5,-61.8483514263408,-12.0359252996422
"00000000000000000a08","ctb0033-RO2292",3335,2533,1996,14,-61.7177755701927,-12.4488871073028
"00000000000000000a17","ctb0033-RO2307",2915,2349,1996,14,-61.8808315184141,-12.4730554350125
"00000000000000000a1f","ctb0033-RO2315",2656,2073,1996,16,-61.9972229741111,-12.5447221071435
"000000000000000009ff","ctb0033-RO2283",3225,2133,1996,17,-61.8238887979616,-12.2436123903074
"00000000000000000a16","ctb0033-RO2306",2550,2006,1996,17,-61.8666649543673,-12.4575020905381
"00000000000000000ab9","ctb0033-RO2469",3183,2595,1996,20,-61.9200002620675,-12.4763908426005
"000000000000000009e7","ctb0033-RO2259",2913,2460,1996,21,-61.7888893137931,-12.3022228145539
"00000000000000000abc","ctb0033-RO2472",3683,2864,1996,22,-61.9494437063234,-12.3438886547973
"00000000000000000ab5","ctb0033-RO2465",3206,2408,1996,23,-61.9091646465077,-12.6702770155054
"00000000000000000a18","ctb0033-RO2308",4054,2966,1996,24,-61.8633340058803,-12.4319425232997
"00000000000000000a1d","ctb0033-RO2313",3691,3367,1996,24,-61.7933350375434,-12.1488877066291
"00000000000000000ac5","ctb0033-RO2481",2963,2510,1996,24,-61.9108323503016,-12.2299987547913
"00000000000000000a1b","ctb0033-RO2311",3751,3116,1996,25,-61.7383320260491,-12.3727791705226
"000000000000000009e3","ctb0033-RO2255",3153,2839,1996,26,-61.819166609946,-12.1902770826072
"00000000000000000a1a","ctb0033-RO2310",3367,2838,1996,26,-61.770277025996,-12.2638879227975
"00000000000000000ab7","ctb0033-RO2467",3004,2910,1996,26,-61.909445569874,-12.556944503131
"00000000000000000aba","ctb0033-RO2470",3140,2776,1996,29,-61.9508349458521,-12.438055950844
"000000000000000009e6","ctb0033-RO2258",4201,3278,1996,30,-61.7838906615121,-12.2511125982793
"000000000000000009fe","ctb0033-RO2282",3566,3301,1996,32,-61.8205533903736,-12.2377798861295
"00000000000000000ab6","ctb0033-RO2466",3956,3367,1996,33,-61.909445569874,-12.6102798108313
"000000000000000009d0","ctb0033-RO2237",4483,3858,1996,34,-61.9205576496992,-12.1038909178988
"000000000000000009fd","ctb0033-RO2281",4091,3492,1996,34,-61.8194430742113,-12.2119438546259
"00000000000000000a1e","ctb0033-RO2314",4926,4171,1996,34,-61.8477762023049,-12.0338874904607
"00000000000000000ac4","ctb0033-RO2480",3921,3545,1996,34,-61.9913904699332,-12.3252763670003
"00000000000000000814","ctb0033-RO1691",3754,3349,1996,35,-61.5561108615,-12.5463898109375
"000000000000000009d3","ctb0033-RO2240",4378,3606,1996,36,-61.8727783819115,-12.1322240459924
"00000000000000000acc","ctb0033-RO2488",3266,3419,1996,36,-61.9091646465077,-12.5741655513994
"000000000000000009d6","ctb0033-RO2243",4742,4262,1996,37,-61.9663882903265,-12.131943122626
"000000000000000009fc","ctb0033-RO2280",4011,3543,1996,37,-61.8486100542019,-12.0766681059675
"00000000000000000a09","ctb0033-RO2293",4107,3618,1996,39,-61.7411100460054,-12.4491680306692
"00000000000000000ac0","ctb0033-RO2476",4456,3997,1996,43,-61.999720070701,-12.5174992952122
"00000000000000000813","ctb0033-RO1690",5072,4261,1996,44,-61.5902764937715,-12.5263907427128
"000000000000000009d4","ctb0033-RO2241",4567,4458,1996,48,-61.8230549460646,-12.131943122626
"00000000000000000ab8","ctb0033-RO2468",3975,4066,1996,48,-61.9127765183609,-12.5191669990062
"00000000000000000abd","ctb0033-RO2473",4318,4142,1996,48,-61.9527791139114,-12.2977770908037
"00000000000000000acb","ctb0033-RO2487",5679,4415,1996,49,-61.909445569874,-12.6347201437052
"000000000000000009df","ctb0033-RO2252",4792,4886,1996,50,-61.9291681738334,-11.9994453939239
"00000000000000000ac6","ctb0033-RO2482",4906,4894,1996,51,-61.9122235898303,-12.2119438546259
"000000000000000009e5","ctb0033-RO2257",4348,4321,1996,52,-61.7844435900428,-12.1897241540766
"00000000000000000815","ctb0033-RO1692",6149,5407,1996,53,-61.5372221094376,-12.5658314915305
"000000000000000009e0","ctb0033-RO2253",5283,5303,1996,53,-61.8594456697617,-11.9955570578053
"000000000000000009e9","ctb0033-RO2261",5985,5534,1996,53,-61.7313892057089,-12.3558345865195
"00000000000000000abb","ctb0033-RO2471",4337,4121,1996,53,-61.9555571338677,-12.3949988710719
"000000000000000009d7","ctb0033-RO2244",5146,4672,1996,54,-61.8125002538711,-12.1480538547321
"000000000000000009e8","ctb0033-RO2260",4146,4457,1996,55,-61.7847200543081,-12.3400003186787
"000000000000000009cc","ctb0033-RO2233",5146,5223,1996,56,-61.9291681738334,-12.0236092625325
"000000000000000009e1","ctb0033-RO2254",5398,5138,1996,58,-61.8469423504079,-12.034997806623
"00000000000000000a0a","ctb0033-RO2294",5257,5035,1996,66,-61.7416674336371,-12.4063874151624
"000000000000000009d2","ctb0033-RO2239",5967,6255,1996,72,-61.8741651623392,-12.1280547865074
"000000000000000009e4","ctb0033-RO2256",6978,7043,1996,83,-61.8780534984578,-12.1869461341203
"00000000000000000b60","ctb0033-RO2637",8367,8997,1996,90,-62.2472224746725,-13.1038889201445
"000000000000000009cb","ctb0033-RO2232",6216,6640,1996,91,-61.9294446380987,-12.0672237299363
"00000000000000000b84","ctb0033-RO2673",8167,8997,1996,92,-62.1536125662576,-12.9980566157421
"00000000000000000b7e","ctb0033-RO2667",7981,8997,1996,96,-62.1619466261265,-12.9969462995798
"000000000000000009d1","ctb0033-RO2238",6737,5364,1996,142,-61.9183325582735,-12.1308328064637
