system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
000000000000000021db,ctb0713-81,3377.0,3255.0,1985,26,"{""type"":""Point"",""coordinates"":[-64.06667393661112,-9.26666747691539]}"
0000000000000000226e,ctb0751-13,3295.0,3154.0,1985,26,"{""type"":""Point"",""coordinates"":[-63.31667097582573,-8.250001354931838]}"
0000000000000000228d,ctb0751-79,3441.0,3274.0,1985,28,"{""type"":""Point"",""coordinates"":[-64.76666807908211,-9.433335296990037]}"
00000000000000002289,ctb0751-60,3314.0,3101.0,1985,29,"{""type"":""Point"",""coordinates"":[-64.58332768016864,-9.666666677813701]}"
0000000000000000228c,ctb0751-76,3962.0,3745.0,1985,30,"{""type"":""Point"",""coordinates"":[-64.1666737368357,-9.816666378150567]}"
000000000000000021de,ctb0713-85,3877.0,3669.0,1985,41,"{""type"":""Point"",""coordinates"":[-66.48329712982928,-9.783298924967632]}"
000000000000000021dd,ctb0713-84,3528.0,3340.0,1985,44,"{""type"":""Point"",""coordinates"":[-66.76669975638208,-9.76669769174565]}"
00000000000000002284,ctb0751-23,4748.0,4390.0,1985,49,"{""type"":""Point"",""coordinates"":[-63.5166705762749,-8.483332735755498]}"
0000000000000000226b,ctb0751-11,3675.0,3455.0,1985,55,"{""type"":""Point"",""coordinates"":[-63.566701690094554,-8.666699889275302]}"
0000000000000000228a,ctb0751-61,4891.0,4653.0,1985,71,"{""type"":""Point"",""coordinates"":[-65.26667153930605,-9.749998358300497]}"
00000000000000002285,ctb0751-24,7173.0,6590.0,1985,101,"{""type"":""Point"",""coordinates"":[-63.98332887882117,-8.766668475792505]}"
00000000000000000d9b,ctb0033-RO3326,0.0,0.0,1996,2,"{""type"":""Point"",""coordinates"":[-65.01666757964355,-9.437500097373956]}"
00000000000000000a2b,ctb0033-RO2327,2763.0,2654.0,1996,5,"{""type"":""Point"",""coordinates"":[-62.891112207689076,-8.220276987309566]}"
00000000000000000bfc,ctb0033-RO2905,3278.0,2803.0,1996,8,"{""type"":""Point"",""coordinates"":[-64.65861068325395,-9.361387701492689]}"
00000000000000000d91,ctb0033-RO3316,2747.0,2610.0,1996,8,"{""type"":""Point"",""coordinates"":[-64.76777839524442,-9.575277401723328]}"
00000000000000000d87,ctb0033-RO3306,2973.0,2719.0,1996,9,"{""type"":""Point"",""coordinates"":[-64.52749527587844,-9.524443649714042]}"
00000000000000000a5f,ctb0033-RO2379,3076.0,2894.0,1996,10,"{""type"":""Point"",""coordinates"":[-63.90305614165704,-8.67166732784884]}"
00000000000000000f06,ctb0033-RO3708,2791.0,2657.0,1996,10,"{""type"":""Point"",""coordinates"":[-63.858331358090965,-8.893057236051373]}"
00000000000000000da1,ctb0033-RO3332,0.0,0.0,1996,12,"{""type"":""Point"",""coordinates"":[-65.07833248811166,-9.484998441795263]}"
00000000000000000fa4,ctb0033-RO3899,2936.0,2734.0,1996,12,"{""type"":""Point"",""coordinates"":[-64.31861314613082,-9.191665397196434]}"
000000000000000008e3,ctb0033-RO2000,3202.0,2860.0,1996,13,"{""type"":""Point"",""coordinates"":[-64.44777992634599,-9.523056869286423]}"
00000000000000000a6d,ctb0033-RO2393,2969.0,2799.0,1996,14,"{""type"":""Point"",""coordinates"":[-63.57861194900831,-8.624721911958165]}"
00000000000000000a6e,ctb0033-RO2394,3206.0,2977.0,1996,14,"{""type"":""Point"",""coordinates"":[-63.67999852966051,-8.595831396232887]}"
00000000000000000c0d,ctb0033-RO2922,2975.0,2864.0,1996,14,"{""type"":""Point"",""coordinates"":[-65.2922221883423,-9.810276486340978]}"
000000000000000008df,ctb0033-RO1896,2756.0,2636.0,1996,15,"{""type"":""Point"",""coordinates"":[-64.43722077505141,-9.273333832990293]}"
00000000000000000a34,ctb0033-RO2336,3239.0,3119.0,1996,15,"{""type"":""Point"",""coordinates"":[-62.96583336404167,-8.439446263187486]}"
00000000000000000a35,ctb0033-RO2337,3314.0,2907.0,1996,15,"{""type"":""Point"",""coordinates"":[-63.02027898790424,-8.398890739106395]}"
00000000000000000c58,ctb0033-RO2997,4294.0,3237.0,1996,15,"{""type"":""Point"",""coordinates"":[-66.30944569795753,-9.806664614487687]}"
00000000000000000f00,ctb0033-RO3702,3829.0,3559.0,1996,15,"{""type"":""Point"",""coordinates"":[-63.85999906188496,-8.946111620385276]}"
00000000000000000a6c,ctb0033-RO2392,3135.0,2851.0,1996,16,"{""type"":""Point"",""coordinates"":[-63.637779760886495,-8.697498900251453]}"
00000000000000000c04,ctb0033-RO2913,2801.0,2705.0,1996,16,"{""type"":""Point"",""coordinates"":[-64.74694547512271,-9.387776661526978]}"
00000000000000000c31,ctb0033-RO2958,3206.0,2961.0,1996,16,"{""type"":""Point"",""coordinates"":[-65.70083191337481,-9.576387717885636]}"
00000000000000000c59,ctb0033-RO2998,3328.0,2885.0,1996,16,"{""type"":""Point"",""coordinates"":[-66.21833288613247,-9.809442634443986]}"
00000000000000000d93,ctb0033-RO3318,2952.0,2766.0,1996,16,"{""type"":""Point"",""coordinates"":[-64.8355567312568,-9.548335513158408]}"
00000000000000000d96,ctb0033-RO3321,2774.0,2686.0,1996,16,"{""type"":""Point"",""coordinates"":[-64.9058321638591,-9.619721261923022]}"
00000000000000000a2c,ctb0033-RO2328,3668.0,3297.0,1996,17,"{""type"":""Point"",""coordinates"":[-62.86639095144878,-8.221668226838243]}"
00000000000000000bfb,ctb0033-RO2904,2843.0,2741.0,1996,17,"{""type"":""Point"",""coordinates"":[-64.64638828726646,-9.371665929420882]}"
00000000000000000c01,ctb0033-RO2910,3061.0,2767.0,1996,17,"{""type"":""Point"",""coordinates"":[-64.68916444367217,-9.33638998098707]}"
00000000000000000c2a,ctb0033-RO2951,3112.0,3026.0,1996,17,"{""type"":""Point"",""coordinates"":[-65.68472118126871,-9.726944805854181]}"
00000000000000000d85,ctb0033-RO3304,3046.0,2972.0,1996,17,"{""type"":""Point"",""coordinates"":[-66.07639078139918,-9.760000121963374]}"
00000000000000000e90,ctb0033-RO3580,4293.0,3577.0,1996,17,"{""type"":""Point"",""coordinates"":[-62.915556999664076,-8.058612278616888]}"
00000000000000000e99,ctb0033-RO3589,,,1996,17,"{""type"":""Point"",""coordinates"":[-62.908609720222806,-8.380001987043997]}"
00000000000000000c26,ctb0033-RO2947,3247.0,3058.0,1996,18,"{""type"":""Point"",""coordinates"":[-65.57250344415769,-9.817776694312874]}"
00000000000000000d88,ctb0033-RO3307,3141.0,2803.0,1996,18,"{""type"":""Point"",""coordinates"":[-64.48055431908881,-9.51861114553614]}"
00000000000000000d9e,ctb0033-RO3329,3284.0,2961.0,1996,18,"{""type"":""Point"",""coordinates"":[-65.05444508376834,-9.408056653118054]}"
00000000000000000da4,ctb0033-RO3335,2920.0,2803.0,1996,18,"{""type"":""Point"",""coordinates"":[-65.12611175589933,-9.498331153945065]}"
00000000000000000f08,ctb0033-RO3710,3845.0,3425.0,1996,18,"{""type"":""Point"",""coordinates"":[-63.76139050118906,-8.851944324338604]}"
00000000000000000f27,ctb0033-RO3741,4058.0,3517.0,1996,18,"{""type"":""Point"",""coordinates"":[-63.960832714006536,-8.62333513153054]}"
000000000000000008de,ctb0033-RO1895,2916.0,2769.0,1996,19,"{""type"":""Point"",""coordinates"":[-64.4319456585052,-9.217220505333731]}"
00000000000000000a37,ctb0033-RO2339,3199.0,3121.0,1996,19,"{""type"":""Point"",""coordinates"":[-62.99805482825387,-8.354723343172013]}"
00000000000000000c03,ctb0033-RO2912,3308.0,3084.0,1996,19,"{""type"":""Point"",""coordinates"":[-64.74694547512271,-9.377221969333476]}"
00000000000000000c09,ctb0033-RO2918,3104.0,2900.0,1996,19,"{""type"":""Point"",""coordinates"":[-65.43638938450125,-9.665832825916707]}"
00000000000000000c1e,ctb0033-RO2939,2838.0,2703.0,1996,19,"{""type"":""Point"",""coordinates"":[-65.52666834442932,-9.770831278422198]}"
00000000000000000d83,ctb0033-RO3302,3262.0,3122.0,1996,19,"{""type"":""Point"",""coordinates"":[-66.13111286952707,-9.764164922347295]}"
00000000000000000d8c,ctb0033-RO3311,2821.0,2735.0,1996,19,"{""type"":""Point"",""coordinates"":[-64.5088874471824,-9.335279664824764]}"
00000000000000000daa,ctb0033-RO3341,3107.0,2832.0,1996,19,"{""type"":""Point"",""coordinates"":[-64.87611225533789,-9.347221137445894]}"
00000000000000000ea0,ctb0033-RO3596,3558.0,3042.0,1996,19,"{""type"":""Point"",""coordinates"":[-62.9216659681073,-8.045279566467086]}"
00000000000000000f0a,ctb0033-RO3712,3356.0,2910.0,1996,19,"{""type"":""Point"",""coordinates"":[-63.75972279739507,-8.856942976619518]}"
00000000000000000f15,ctb0033-RO3723,3359.0,3098.0,1996,19,"{""type"":""Point"",""coordinates"":[-64.04055698174109,-9.174720813193336]}"
00000000000000000f2b,ctb0033-RO3745,3559.0,2856.0,1996,19,"{""type"":""Point"",""coordinates"":[-64.18499618306431,-9.107499864812644]}"
00000000000000000f9e,ctb0033-RO3893,3001.0,2765.0,1996,19,"{""type"":""Point"",""coordinates"":[-64.28305627433063,-9.113055904725236]}"
000000000000000008e0,ctb0033-RO1897,3252.0,2800.0,1996,20,"{""type"":""Point"",""coordinates"":[-64.5011107749452,-9.212221853052817]}"
00000000000000000bfd,ctb0033-RO2906,3145.0,2915.0,1996,20,"{""type"":""Point"",""coordinates"":[-64.55972119919169,-9.45555499753936]}"
00000000000000000c11,ctb0033-RO2926,2942.0,2775.0,1996,20,"{""type"":""Point"",""coordinates"":[-65.28055717998647,-9.937775562762157]}"
00000000000000000c21,ctb0033-RO2942,3220.0,3063.0,1996,20,"{""type"":""Point"",""coordinates"":[-65.53638918472583,-9.703886794306811]}"
00000000000000000d8d,ctb0033-RO3312,2826.0,2762.0,1996,20,"{""type"":""Point"",""coordinates"":[-64.56944649858926,-9.385279564937054]}"
00000000000000000db1,ctb0033-RO3348,3419.0,2813.0,1996,20,"{""type"":""Point"",""coordinates"":[-64.79888954329431,-9.362778941021364]}"
00000000000000000fa3,ctb0033-RO3898,3150.0,2961.0,1996,20,"{""type"":""Point"",""coordinates"":[-64.34916690654903,-9.248889041015305]}"
00000000000000000a33,ctb0033-RO2335,3623.0,3165.0,1996,21,"{""type"":""Point"",""coordinates"":[-62.98388826420708,-8.487221071874105]}"
00000000000000000a61,ctb0033-RO2381,3705.0,3361.0,1996,21,"{""type"":""Point"",""coordinates"":[-63.709446433017476,-8.690556079911238]}"
00000000000000000a73,ctb0033-RO2399,3933.0,3556.0,1996,21,"{""type"":""Point"",""coordinates"":[-63.93666884539791,-8.834723276070196]}"
00000000000000000bf9,ctb0033-RO2902,3360.0,3037.0,1996,21,"{""type"":""Point"",""coordinates"":[-64.64944277148807,-9.378332285495784]}"
00000000000000000c02,ctb0033-RO2911,2981.0,2845.0,1996,21,"{""type"":""Point"",""coordinates"":[-64.67694650678573,-9.35361102925548]}"
00000000000000000c0e,ctb0033-RO2923,3146.0,2996.0,1996,21,"{""type"":""Point"",""coordinates"":[-65.27166573248591,-9.849445229994448]}"
00000000000000000c27,ctb0033-RO2948,2848.0,2705.0,1996,21,"{""type"":""Point"",""coordinates"":[-65.6108338768131,-9.823332734225467]}"
00000000000000000c2b,ctb0033-RO2952,3121.0,2959.0,1996,21,"{""type"":""Point"",""coordinates"":[-65.68527856890039,-9.7405539822693]}"
00000000000000000c2c,ctb0033-RO2953,,,1996,21,"{""type"":""Point"",""coordinates"":[-65.73568424720854,-9.764905133122166]}"
00000000000000000c2d,ctb0033-RO2954,3393.0,3238.0,1996,21,"{""type"":""Point"",""coordinates"":[-65.58722293673512,-9.710557609482768]}"
00000000000000000c44,ctb0033-RO2977,3425.0,3233.0,1996,21,"{""type"":""Point"",""coordinates"":[-66.63833115525549,-9.823609198490782]}"
00000000000000000c55,ctb0033-RO2994,,,1996,21,"{""type"":""Point"",""coordinates"":[-66.42805778597919,-9.86916783395384]}"
00000000000000000da7,ctb0033-RO3338,3042.0,2861.0,1996,21,"{""type"":""Point"",""coordinates"":[-65.04916550812106,-9.548888441689035]}"
00000000000000000db3,ctb0033-RO3350,3021.0,2831.0,1996,21,"{""type"":""Point"",""coordinates"":[-64.8355567312568,-9.434164689785979]}"
00000000000000000f28,ctb0033-RO3742,4018.0,3434.0,1996,21,"{""type"":""Point"",""coordinates"":[-63.98027885370062,-8.636386920313976]}"
00000000000000000932,ctb0033-RO2080,3767.0,3477.0,1996,22,"{""type"":""Point"",""coordinates"":[-64.41389075833979,-9.247221337221314]}"
00000000000000000a26,ctb0033-RO2322,4628.0,4134.0,1996,22,"{""type"":""Point"",""coordinates"":[-63.013055244197666,-8.11611238670107]}"
00000000000000000a38,ctb0033-RO2340,3340.0,3267.0,1996,22,"{""type"":""Point"",""coordinates"":[-63.001666700107165,-8.351111471318724]}"
00000000000000000a3a,ctb0033-RO2342,3019.0,2780.0,1996,22,"{""type"":""Point"",""coordinates"":[-62.98444565183876,-8.208888443219067]}"
00000000000000000a64,ctb0033-RO2384,3136.0,2862.0,1996,22,"{""type"":""Point"",""coordinates"":[-63.84610896210348,-8.696945971720824]}"
00000000000000000d90,ctb0033-RO3315,3385.0,2829.0,1996,22,"{""type"":""Point"",""coordinates"":[-64.80361173130991,-9.570831677973041]}"
00000000000000000d9f,ctb0033-RO3330,0.0,0.0,1996,22,"{""type"":""Point"",""coordinates"":[-65.08055757953733,-9.420555513370864]}"
00000000000000000da8,ctb0033-RO3339,3876.0,3551.0,1996,22,"{""type"":""Point"",""coordinates"":[-65.04111237161854,-9.52360979781705]}"
00000000000000000a2e,ctb0033-RO2330,2887.0,2770.0,1996,23,"{""type"":""Point"",""coordinates"":[-62.89166513621971,-8.291390730909923]}"
00000000000000000bf8,ctb0033-RO2901,2771.0,2667.0,1996,23,"{""type"":""Point"",""coordinates"":[-64.61389035878895,-9.308609781424105]}"
00000000000000000bff,ctb0033-RO2908,3023.0,2897.0,1996,23,"{""type"":""Point"",""coordinates"":[-64.65222079144436,-9.467220005895173]}"
00000000000000000c38,ctb0033-RO2965,3214.0,3060.0,1996,23,"{""type"":""Point"",""coordinates"":[-65.97416588974893,-9.574167085561019]}"
00000000000000000d92,ctb0033-RO3317,2794.0,2697.0,1996,23,"{""type"":""Point"",""coordinates"":[-64.75083381124132,-9.610834273523503]}"
00000000000000000d94,ctb0033-RO3319,3432.0,3099.0,1996,23,"{""type"":""Point"",""coordinates"":[-65.00277747986208,-9.572222917501717]}"
00000000000000000d9c,ctb0033-RO3327,3410.0,2999.0,1996,23,"{""type"":""Point"",""coordinates"":[-65.01972206386516,-9.44583415724285]}"
00000000000000000da2,ctb0033-RO3333,3619.0,3294.0,1996,23,"{""type"":""Point"",""coordinates"":[-65.04694487579646,-9.49500020545814]}"
00000000000000000da3,ctb0033-RO3334,0.0,0.0,1996,23,"{""type"":""Point"",""coordinates"":[-65.12916624012094,-9.507222601445637]}"
00000000000000000db2,ctb0033-RO3349,3354.0,2978.0,1996,23,"{""type"":""Point"",""coordinates"":[-64.83527580789043,-9.40416831699945]}"
00000000000000000e98,ctb0033-RO3588,3442.0,3097.0,1996,23,"{""type"":""Point"",""coordinates"":[-62.8913886719544,-8.381388767471622]}"
00000000000000000f9f,ctb0033-RO3894,3323.0,2862.0,1996,23,"{""type"":""Point"",""coordinates"":[-64.27194419450545,-9.12833278493434]}"
00000000000000000fa1,ctb0033-RO3896,4222.0,3871.0,1996,23,"{""type"":""Point"",""coordinates"":[-64.25111127438375,-9.177498833149635]}"
00000000000000000c29,ctb0033-RO2950,3046.0,2853.0,1996,24,"{""type"":""Point"",""coordinates"":[-65.70360993333111,-9.807779389751051]}"
00000000000000000c3a,ctb0033-RO2967,3755.0,3380.0,1996,24,"{""type"":""Point"",""coordinates"":[-66.00499611443246,-9.602500213654615]}"
00000000000000000c52,ctb0033-RO2991,3698.0,3486.0,1996,24,"{""type"":""Point"",""coordinates"":[-66.32055777778271,-9.594166153785723]}"
00000000000000000c56,ctb0033-RO2995,3539.0,3470.0,1996,24,"{""type"":""Point"",""coordinates"":[-66.4197237261103,-9.84138763439087]}"
00000000000000000d95,ctb0033-RO3320,3365.0,3104.0,1996,24,"{""type"":""Point"",""coordinates"":[-64.94416705561558,-9.596944173742019]}"
00000000000000000e9e,ctb0033-RO3594,4370.0,4128.0,1996,24,"{""type"":""Point"",""coordinates"":[-62.990001691751345,-8.315554599518547]}"
00000000000000000f09,ctb0033-RO3711,4183.0,3737.0,1996,24,"{""type"":""Point"",""coordinates"":[-63.762777281616685,-8.915834324232376]}"
00000000000000000f0d,ctb0033-RO3715,3804.0,3360.0,1996,24,"{""type"":""Point"",""coordinates"":[-64.13416689015608,-8.734442552479251]}"
00000000000000000a6a,ctb0033-RO2390,3232.0,3121.0,1996,25,"{""type"":""Point"",""coordinates"":[-63.64138717363872,-8.625832228120471]}"
00000000000000000c0a,ctb0033-RO2919,3131.0,2915.0,1996,25,"{""type"":""Point"",""coordinates"":[-65.40138990033276,-9.675277201947905]}"
00000000000000000c23,ctb0033-RO2944,3336.0,3088.0,1996,25,"{""type"":""Point"",""coordinates"":[-65.44972209665106,-9.668610845873003]}"
00000000000000000c36,ctb0033-RO2963,2953.0,2799.0,1996,25,"{""type"":""Point"",""coordinates"":[-65.98138963345552,-9.464999373570558]}"
00000000000000000d8b,ctb0033-RO3310,3420.0,3308.0,1996,25,"{""type"":""Point"",""coordinates"":[-64.51611119088899,-9.375554265539485]}"
00000000000000000d97,ctb0033-RO3322,3076.0,2788.0,1996,25,"{""type"":""Point"",""coordinates"":[-64.866110491675,-9.572775846032345]}"
00000000000000000d98,ctb0033-RO3323,2896.0,2718.0,1996,25,"{""type"":""Point"",""coordinates"":[-64.78083464312891,-9.514722809417535]}"
00000000000000000f03,ctb0033-RO3705,4277.0,3737.0,1996,25,"{""type"":""Point"",""coordinates"":[-64.05888834617181,-8.889445364198084]}"
000000000000000008dd,ctb0033-RO1894,4392.0,3515.0,1996,26,"{""type"":""Point"",""coordinates"":[-64.44277681496402,-9.198889140903015]}"
00000000000000000a2d,ctb0033-RO2329,3401.0,3349.0,1996,26,"{""type"":""Point"",""coordinates"":[-62.90722293979518,-8.32055771090051]}"
00000000000000000c40,ctb0033-RO2973,3840.0,3611.0,1996,26,"{""type"":""Point"",""coordinates"":[-65.90027858529334,-9.719721062147599]}"
00000000000000000db0,ctb0033-RO3347,3116.0,2897.0,1996,26,"{""type"":""Point"",""coordinates"":[-64.84861297914128,-9.364999573345978]}"
00000000000000000db6,ctb0033-RO3353,4339.0,3812.0,1996,26,"{""type"":""Point"",""coordinates"":[-64.02722426959129,-8.894167552213686]}"
00000000000000000e9b,ctb0033-RO3591,,,1996,26,"{""type"":""Point"",""coordinates"":[-62.938610552110376,-8.357501363128309]}"
00000000000000000f21,ctb0033-RO3735,3764.0,3343.0,1996,26,"{""type"":""Point"",""coordinates"":[-63.88083198200666,-8.352779175112712]}"
00000000000000000c00,ctb0033-RO2909,3198.0,2769.0,1996,27,"{""type"":""Point"",""coordinates"":[-64.66416672316655,-9.308333317158791]}"
00000000000000000c0b,ctb0033-RO2920,3599.0,3385.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.32611135634848,-9.7358317942537]}"
00000000000000000c1a,ctb0033-RO2935,3875.0,3551.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.13138687244557,-9.744999706019584]}"
00000000000000000c20,ctb0033-RO2941,3361.0,3151.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.55416762062592,-9.645833757692003]}"
00000000000000000c2e,ctb0033-RO2955,4184.0,3857.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.60527783690051,-9.662501877429783]}"
00000000000000000c39,ctb0033-RO2966,3753.0,3423.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.93222358524022,-9.574443549826333]}"
00000000000000000c3b,ctb0033-RO2968,3509.0,2970.0,1996,27,"{""type"":""Point"",""coordinates"":[-65.08916810367151,-9.674724273417278]}"
00000000000000000c43,ctb0033-RO2976,3093.0,2989.0,1996,27,"{""type"":""Point"",""coordinates"":[-66.63805469099017,-9.870278150116146]}"
00000000000000000c50,ctb0033-RO2989,3697.0,3424.0,1996,27,"{""type"":""Point"",""coordinates"":[-66.31194279454746,-9.7358317942537]}"
00000000000000000efe,ctb0033-RO3700,4129.0,3805.0,1996,27,"{""type"":""Point"",""coordinates"":[-63.96222395353521,-8.942499748531983]}"
00000000000000000f04,ctb0033-RO3706,4116.0,3812.0,1996,27,"{""type"":""Point"",""coordinates"":[-63.895279469419826,-8.891942460788014]}"
00000000000000000f16,ctb0033-RO3724,3628.0,3282.0,1996,27,"{""type"":""Point"",""coordinates"":[-64.06083251423111,-9.139444864759527]}"
00000000000000000f1a,ctb0033-RO3728,3777.0,3359.0,1996,27,"{""type"":""Point"",""coordinates"":[-63.526667880836726,-8.01472134694782]}"
00000000000000000a69,ctb0033-RO2389,3472.0,3178.0,1996,28,"{""type"":""Point"",""coordinates"":[-63.697224037029976,-8.644720980182868]}"
00000000000000000c13,ctb0033-RO2928,3421.0,2974.0,1996,28,"{""type"":""Point"",""coordinates"":[-65.2513901999959,-9.710000221851088]}"
00000000000000000c28,ctb0033-RO2949,3127.0,2955.0,1996,28,"{""type"":""Point"",""coordinates"":[-65.64805399330622,-9.791387734278581]}"
